id,name,party,house,source,website,photo,email,facebook,twitter
EZ5,The Hon Tony Abbott MP,Liberal Party of Australia,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=EZ5,http://www.tonyabbott.com.au,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/EZ5/upload_ref_binary/EZ5.JPG,,http://www.facebook.com/TonyAbbottMP,http://twitter.com/TonyAbbottMHR
R36,The Hon Anthony Albanese MP,Australian Labor Party,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=R36,http://www.anthonyalbanese.com.au,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/R36/upload_ref_binary/R36.jpg,A.Albanese.MP@aph.gov.au,https://www.facebook.com/AlboMP,http://twitter.com/AlboMP
HK5,The Hon Kevin Andrews MP,Liberal Party of Australia,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HK5,http://www.kevinandrews.com.au,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HK5/upload_ref_binary/HK5.jpg,menzies@aph.gov.au,http://www.facebook.com/kevinandrewsmp,http://twitter.com/kevinandrewsmp
LL6,The Hon Bob Baldwin MP,Liberal Party of Australia,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=LL6,http://www.bobbaldwin.com.au/,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/LL6/upload_ref_binary/LL6.JPG,Bob.Baldwin.MP@aph.gov.au,http://en-gb.facebook.com/bobbaldwinmp,http://twitter.com/bobbaldwinmp
1K6,The Hon Bruce Billson MP,Liberal Party of Australia,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=1K6,http://www.billson4dunkley.com/,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/1K6/upload_ref_binary/1K6.JPG,B.Billson.MP@aph.gov.au,http://www.facebook.com/profile.php?id=100001833476620,http://twitter.com/BruceBillsonMP
DZP,The Hon Sharon Bird MP,Australian Labor Party,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DZP,http://www.sharonbird.com.au/,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/DZP/upload_ref_binary/DZP.jpg,Sharon.Bird.MP@aph.gov.au,http://www.facebook.com/sharon.bird.mp,http://twitter.com/SharonBirdMP
83P,The Hon Julie Bishop MP,Liberal Party of Australia,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=83P,http://www.juliebishop.com.au/,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/83P/upload_ref_binary/83P.JPG,Julie.Bishop.MP@aph.gov.au,http://www.facebook.com/julie.bishop.mp,http://twitter.com/JulieBishopMP
MT4,Mr Russell Broadbent MP,Liberal Party of Australia,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=MT4,http://www.russellbroadbent.com.au,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/MT4/upload_ref_binary/MT4.jpg,Russell.Broadbent.MP@aph.gov.au,https://www.facebook.com/russell.broadbent.94?ref=stream&hc_location=timeline,https://twitter.com/BroadbentMP
DYW,The Hon Tony Burke MP,Australian Labor Party,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=DYW,http://www.tonyburke.com.au/,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/DYW/upload_ref_binary/DYW.jpg,Tony.Burke.MP@aph.gov.au,http://www.facebook.com/tony.burke.mp,http://twitter.com/tony_burke
HWK,The Hon Mark Butler MP,Australian Labor Party,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HWK,http://markbutler.alp.org.au/,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HWK/upload_ref_binary/HWK.jpg,,https://www.facebook.com/MarkButlerMP,http://twitter.com/Mark_Butler_MP
008K0,The Hon Anthony Byrne MP,Australian Labor Party,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=008K0,http://www.anthonybyrnemp.com/,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/008K0/upload_ref_binary/008K0.jpg,Anthony.Byrne.MP@aph.gov.au,http://www.facebook.com/anthonybyrne,http://twitter.com/AnthonyByrne_MP
HW9,Mr Nick Champion MP,Australian Labor Party,representatives,http://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=HW9,,http://parlinfo.aph.gov.au/parlInfo/download/handbook/allmps/HW9/upload_ref_binary/HW9.jpg,Nick.Champion.MP@aph.gov.au,http://www.facebook.com/pages/Nick-Champion-MP/325495831575,http://twitter.com/NickChampionMP
